"","Year","Count","Neighborhood","Location","Date","Lat","Long"
"1",2014,NA,"Universal City","(34.137367, -118.352786)","1/1/14",34.137367,-118.352786
"2",2014,NA,"Downey","(33.925708, -118.162308)","1/1/14",33.925708,-118.162308
"3",2014,NA,"Avalon","(33.343563, -118.3300478)","1/1/14",33.343563,-118.3300478
"4",2014,NA,"Unincorporated Catalina Island","(33.388813499999998, -118.423552636715)","1/1/14",33.3888135,-118.423552636715
"5",2014,NA,"Lancaster","(34.69674, -118.227897)","1/1/14",34.69674,-118.227897
"6",2014,NA,"Castaic Canyons","(34.4679205, -118.594791)","1/1/14",34.4679205,-118.594791
"7",2014,NA,"Burbank","(34.199424, -118.3594925)","1/1/14",34.199424,-118.3594925
"8",2014,NA,"Carson","(33.809244, -118.241188)","1/1/14",33.809244,-118.241188
"9",2014,NA,"Torrance","(33.852811, -118.3306995)","1/1/14",33.852811,-118.3306995
"10",2014,NA,"Long Beach","(33.808542, -118.087881)","1/1/14",33.808542,-118.087881
"11",2014,NA,"Long Beach","(33.7633785, -118.1035825)","1/1/14",33.7633785,-118.1035825
"12",2014,NA,"Shadow Hills","(34.2242935, -118.305462)","1/1/14",34.2242935,-118.305462
"13",2014,NA,"Carson","(33.841065, -118.2386745)","1/1/14",33.841065,-118.2386745
"14",2014,NA,"El Segundo","(33.9090245, -118.412818)","1/1/14",33.9090245,-118.412818
"15",2017,618.0514468,"Tujunga","(34.2595555, -118.293602)","1/1/17",34.2595555,-118.293602
"16",2017,616.6982716,"Tujunga","(34.267357, -118.29024)","1/1/17",34.267357,-118.29024
"17",2017,618.0514468,"Tujunga","(34.251998, -118.2926875)","1/1/17",34.251998,-118.2926875
"18",2017,618.0514468,"Tujunga","(34.2511895, -118.281014)","1/1/17",34.2511895,-118.281014
"19",2017,849.0993444,"Tujunga","(34.2455945, -118.271731)","1/1/17",34.2455945,-118.271731
"20",2017,626.4089039,"Tujunga","(34.244255, -118.296428)","1/1/17",34.244255,-118.296428
"21",2017,619.1943195,"Shadow Hills","(34.224155, -118.354339)","1/1/17",34.224155,-118.354339
"22",2017,697.7331337,"Shadow Hills","(34.216189, -118.3456235)","1/1/17",34.216189,-118.3456235
"23",2017,688.3566871,"Sun Valley","(34.210852, -118.3480495)","1/1/17",34.210852,-118.3480495
"24",2017,658.0882108,"Shadow Hills","(34.2412955, -118.3292705)","1/1/17",34.2412955,-118.3292705
"25",2017,614.6316651,"Sunland","(34.274431, -118.30714)","1/1/17",34.274431,-118.30714
"26",2017,618.0514468,"Sunland","(34.262834, -118.30683)","1/1/17",34.262834,-118.30683
"27",2017,586.4947611,"Lake View Terrace","(34.2745565, -118.3439025)","1/1/17",34.2745565,-118.3439025
"28",2017,618.0514468,"Shadow Hills","(34.255439, -118.3527775)","1/1/17",34.255439,-118.3527775
"29",2017,618.1133858,"Sunland","(34.253933, -118.3147245)","1/1/17",34.253933,-118.3147245
"30",2017,615.1418214,"Lake View Terrace","(34.2819045, -118.3918905)","1/1/17",34.2819045,-118.3918905
"31",2017,618.0514468,"Pacoima","(34.276146, -118.404645)","1/1/17",34.276146,-118.404645
"32",2017,618.0514468,"Pacoima","(34.271671, -118.397614)","1/1/17",34.271671,-118.397614
"33",2017,680.3195836,"Lopez/Kagel Canyons","(34.287866, -118.376208)","1/1/17",34.287866,-118.376208
"34",2017,671.4134659,"Pacoima","(34.2867415, -118.4160805)","1/1/17",34.2867415,-118.4160805
"35",2017,618.0514468,"Pacoima","(34.279058, -118.411554)","1/1/17",34.279058,-118.411554
"36",2017,665.9418076,"Lake View Terrace","(34.2886315, -118.396898)","1/1/17",34.2886315,-118.396898
"37",2017,672.5971678,"Pacoima","(34.2762555, -118.4293915)","1/1/17",34.2762555,-118.4293915
"38",2017,618.0514468,"Pacoima","(34.27316, -118.4202235)","1/1/17",34.27316,-118.4202235
"39",2017,618.0514468,"Pacoima","(34.2670615, -118.433071)","1/1/17",34.2670615,-118.433071
"40",2017,618.0514468,"Pacoima","(34.2589085, -118.4345385)","1/1/17",34.2589085,-118.4345385
"41",2017,618.0514468,"Pacoima","(34.2639205, -118.4286915)","1/1/17",34.2639205,-118.4286915
"42",2017,618.0514468,"Pacoima","(34.25551, -118.4257485)","1/1/17",34.25551,-118.4257485
"43",2017,618.0514468,"Pacoima","(34.2604335, -118.4189955)","1/1/17",34.2604335,-118.4189955
"44",2017,618.0514468,"Pacoima","(34.2579045, -118.422465)","1/1/17",34.2579045,-118.422465
"45",2017,618.0514468,"Pacoima","(34.268476, -118.4152165)","1/1/17",34.268476,-118.4152165
"46",2017,618.0514468,"Pacoima","(34.2551165, -118.399872)","1/1/17",34.2551165,-118.399872
"47",2017,618.0514468,"Pacoima","(34.2625155, -118.4088415)","1/1/17",34.2625155,-118.4088415
"48",2017,618.0514468,"Pacoima","(34.2502955, -118.411179)","1/1/17",34.2502955,-118.411179
"49",2017,618.0514468,"Pacoima","(34.2465705, -118.416294)","1/1/17",34.2465705,-118.416294
"50",2017,618.0514468,"Pacoima","(34.245882, -118.4209225)","1/1/17",34.245882,-118.4209225
"51",2017,618.0514468,"Sylmar","(34.3231715, -118.444538)","1/1/17",34.3231715,-118.444538
"52",2017,614.894242,"Sylmar","(34.320427, -118.428524)","1/1/17",34.320427,-118.428524
"53",2017,658.2279576,"Sylmar","(34.3231945, -118.4087995)","1/1/17",34.3231945,-118.4087995
"54",2017,683.2692805,"Sylmar","(34.305005, -118.414298)","1/1/17",34.305005,-118.414298
"55",2017,618.0514468,"Sylmar","(34.3062, -118.42203)","1/1/17",34.3062,-118.42203
"56",2017,672.8236195,"Sylmar","(34.302675, -118.426951)","1/1/17",34.302675,-118.426951
"57",2017,672.408131,"Sylmar","(34.306005, -118.441288)","1/1/17",34.306005,-118.441288
"58",2017,618.0514468,"Sylmar","(34.3146865, -118.448309)","1/1/17",34.3146865,-118.448309
"59",2017,586.3246417,"Sylmar","(34.321542, -118.4587415)","1/1/17",34.321542,-118.4587415
"60",2017,618.0514468,"Sylmar","(34.3105765, -118.4365505)","1/1/17",34.3105765,-118.4365505
"61",2017,618.0514468,"Sylmar","(34.3132585, -118.440082)","1/1/17",34.3132585,-118.440082
"62",2017,620.2244803,"Sylmar","(34.3236325, -118.4860245)","1/1/17",34.3236325,-118.4860245
"63",2017,618.0514468,"Sylmar","(34.308856, -118.4613605)","1/1/17",34.308856,-118.4613605
"64",2017,826.5377729,"Granada Hills","(34.3189225, -118.5218285)","1/1/17",34.3189225,-118.5218285
"65",2017,616.7384616,"Sylmar","(34.3042795, -118.474247)","1/1/17",34.3042795,-118.474247
"66",2017,618.0514468,"Granada Hills","(34.298025, -118.509153)","1/1/17",34.298025,-118.509153
"67",2017,618.0514468,"Granada Hills","(34.2863475, -118.5084525)","1/1/17",34.2863475,-118.5084525
"68",2017,618.0514468,"Granada Hills","(34.289784, -118.524711)","1/1/17",34.289784,-118.524711
"69",2017,616.3098189,"Granada Hills","(34.2905125, -118.4928915)","1/1/17",34.2905125,-118.4928915
"70",2017,618.0514468,"Granada Hills","(34.2790905, -118.4941245)","1/1/17",34.2790905,-118.4941245
"71",2017,670.7729756,"Sylmar","(34.293406, -118.4556035)","1/1/17",34.293406,-118.4556035
"72",2017,672.0441131,"Sylmar","(34.288747, -118.4611105)","1/1/17",34.288747,-118.4611105
"73",2017,670.4421214,"Sylmar","(34.302027, -118.446501)","1/1/17",34.302027,-118.446501
"74",2017,672.8503405,"Sylmar","(34.2975345, -118.4503905)","1/1/17",34.2975345,-118.4503905
"75",2017,618.0514468,"Porter Ranch","(34.280038, -118.5413715)","1/1/17",34.280038,-118.5413715
"76",2017,618.0514468,"Porter Ranch","(34.280795, -118.55492)","1/1/17",34.280795,-118.55492
"77",2017,618.0514468,"Porter Ranch","(34.2860705, -118.542893)","1/1/17",34.2860705,-118.542893
"78",2017,586.6595249,"Porter Ranch","(34.2939525, -118.5470515)","1/1/17",34.2939525,-118.5470515
"79",2017,618.0514468,"Porter Ranch","(34.2857885, -118.562083)","1/1/17",34.2857885,-118.562083
"80",2017,586.1343948,"Chatsworth","(34.288396, -118.581814)","1/1/17",34.288396,-118.581814
"81",2017,618.0514468,"Mission Hills","(34.278731, -118.4610295)","1/1/17",34.278731,-118.4610295
"82",2017,619.5220007,"Granada Hills","(34.2786785, -118.474608)","1/1/17",34.2786785,-118.474608
"83",2017,618.0514468,"Granada Hills","(34.272521, -118.479515)","1/1/17",34.272521,-118.479515
"84",2017,618.0514468,"Mission Hills","(34.269881, -118.4552825)","1/1/17",34.269881,-118.4552825
"85",2017,671.9566298,"San Fernando","(34.274036, -118.4444575)","1/1/17",34.274036,-118.4444575
"86",2017,618.0514468,"Mission Hills","(34.2582765, -118.450367)","1/1/17",34.2582765,-118.450367
"87",2017,618.0514468,"Mission Hills","(34.2536515, -118.465415)","1/1/17",34.2536515,-118.465415
"88",2017,618.0514468,"Mission Hills","(34.2615535, -118.465347)","1/1/17",34.2615535,-118.465347
"89",2017,618.0514468,"Granada Hills","(34.263394, -118.4810215)","1/1/17",34.263394,-118.4810215
"90",2017,618.0514468,"North Hills","(34.2537535, -118.481817)","1/1/17",34.2537535,-118.481817
"91",2017,618.0514468,"Granada Hills","(34.2683575, -118.4946735)","1/1/17",34.2683575,-118.4946735
"92",2017,618.0514468,"Granada Hills","(34.275029, -118.50855)","1/1/17",34.275029,-118.50855
"93",2017,618.0514468,"Granada Hills","(34.2683485, -118.5151565)","1/1/17",34.2683485,-118.5151565
"94",2017,618.0514468,"Porter Ranch","(34.2620495, -118.5490485)","1/1/17",34.2620495,-118.5490485
"95",2017,618.0514468,"Northridge","(34.253636, -118.5358265)","1/1/17",34.253636,-118.5358265
"96",2017,618.0514468,"Porter Ranch","(34.2676425, -118.5361955)","1/1/17",34.2676425,-118.5361955
"97",2017,618.0514468,"Granada Hills","(34.2610855, -118.5158815)","1/1/17",34.2610855,-118.5158815
"98",2017,618.0514468,"Northridge","(34.2539425, -118.512829)","1/1/17",34.2539425,-118.512829
"99",2017,618.0514468,"Granada Hills","(34.257483, -118.495412)","1/1/17",34.257483,-118.495412
"100",2017,618.0514468,"Chatsworth","(34.265338, -118.5882575)","1/1/17",34.265338,-118.5882575
"101",2017,618.0514468,"Chatsworth","(34.265325, -118.568068)","1/1/17",34.265325,-118.568068
"102",2017,618.0514468,"Chatsworth","(34.2635755, -118.611966)","1/1/17",34.2635755,-118.611966
"103",2017,618.0514468,"Chatsworth","(34.2608605, -118.6035245)","1/1/17",34.2608605,-118.6035245
"104",2017,618.0514468,"Chatsworth","(34.2535965, -118.608218)","1/1/17",34.2535965,-118.608218
"105",2017,610.6749089,"Chatsworth Reservoir","(34.2282065, -118.645614)","1/1/17",34.2282065,-118.645614
"106",2017,616.5575117,"West Hills","(34.227417, -118.61402)","1/1/17",34.227417,-118.61402
"107",2017,618.0514468,"Canoga Park","(34.2275575, -118.6017175)","1/1/17",34.2275575,-118.6017175
"108",2017,618.0514468,"Canoga Park","(34.227624, -118.59227)","1/1/17",34.227624,-118.59227
"109",2017,431.503476,"Chatsworth","(34.2373915, -118.6488335)","1/1/17",34.2373915,-118.6488335
"110",2017,616.952514,"Chatsworth","(34.2451855, -118.6125745)","1/1/17",34.2451855,-118.6125745
"111",2017,618.0514468,"Northridge","(34.2448005, -118.5590895)","1/1/17",34.2448005,-118.5590895
