"","State","County","num","population","X2019_Good.Days","X2019_Moderate.Days","X2019_Unhealthy.Days","X2019_Days.Ozone.hazardous","X2020_Good.Days","X2020_Moderate.Days","X2020_Unhealthy.Days","X2020_Days.Ozone.hazardous"
"1","Alabama","Baldwin",3,233219,237,34,0,220,159,9,0,130
"2","Alabama","Clay",27,14211,97,10,0,0,54,4,0,0
"3","Alabama","DeKalb",49,71648,324,37,0,331,234,8,0,230
"4","Alabama","Elmore",51,87853,208,20,0,228,149,0,0,149
"5","Alabama","Etowah",55,103447,232,47,0,218,161,8,0,137
"6","Alabama","Jefferson",73,674675,157,195,0,122,149,93,0,97
"7","Alabama","Lawrence",79,33089,111,1,0,0,20,0,0,0
"8","Alabama","Madison",89,390502,255,106,0,155,158,24,0,79
"9","Alabama","Mobile",97,414353,258,106,0,105,184,19,0,101
"10","Alabama","Montgomery",101,228322,171,193,0,50,103,104,0,31
"11","Alabama","Morgan",103,123288,306,59,0,195,181,21,0,111
"12","Alabama","Russell",113,59259,268,95,0,116,179,33,0,70
"13","Alabama","Shelby",117,223881,308,44,0,232,200,11,0,147
"14","Alabama","Sumter",119,12196,335,26,0,183,209,4,0,126
"15","Alabama","Tuscaloosa",125,231534,240,24,0,188,159,6,0,133
"16","Arizona","Apache",1,65911,358,1,0,0,268,2,0,0
"17","Arizona","Cochise",3,125522,266,99,0,327,210,62,0,231
"18","Arizona","Coconino",5,145180,289,76,0,356,227,47,0,274
"19","Arizona","Gila",7,53351,145,164,6,254,160,101,3,230
"20","Arizona","La Paz",12,16575,304,60,0,360,205,67,0,269
"21","Arizona","Maricopa",13,4440232,66,261,0,215,75,168,3,194
"22","Arizona","Mohave",15,214176,358,7,0,0,262,4,0,0
"23","Arizona","Navajo",17,106762,294,70,0,357,229,42,0,243
"24","Arizona","Pima",19,1045175,225,138,0,261,131,133,0,192
"25","Arizona","Pinal",21,429446,123,209,2,168,107,137,0,195
"26","Arizona","Santa Cruz",23,47705,280,80,0,0,213,56,1,0
"27","Arizona","Yavapai",25,237216,299,58,0,355,205,65,0,271
"28","Arizona","Yuma",27,204528,265,97,0,273,206,68,0,198
"29","Arkansas","Arkansas",1,17107,101,17,0,0,82,8,0,0
"30","Arkansas","Ashley",3,18962,103,17,0,0,85,7,0,0
"31","Arkansas","Clark",19,21387,347,8,0,355,220,1,0,221
"32","Arkansas","Crittenden",35,48086,290,74,0,205,228,43,0,175
"33","Arkansas","Garland",51,100249,93,28,0,0,80,11,0,0
"34","Arkansas","Jackson",67,16755,102,15,0,0,83,9,0,0
"35","Arkansas","Newton",101,7193,347,18,0,358,266,5,0,271
"36","Arkansas","Polk",113,19187,312,48,0,314,248,19,0,242
"37","Arkansas","Pulaski",119,399246,235,130,0,146,207,66,0,138
"38","Arkansas","Union",139,38926,196,45,0,0,79,12,0,0
"39","Arkansas","Washington",143,246756,284,81,0,207,236,37,0,194
"40","California","Alameda",1,1680380,260,97,0,175,153,55,4,110
"41","California","Amador",5,40532,308,45,0,355,201,8,0,209
"42","California","Butte",7,210135,224,136,2,231,146,68,0,166
"43","California","Calaveras",9,45346,299,60,0,322,178,34,0,165
"44","California","Colusa",11,21858,294,71,0,228,205,25,15,169
