State,County,2019_Good.Days,2019_Moderate.Days,2019_Unhealthy.Days,2019_Days.Ozone.hazardous,2020_Good.Days,2020_Moderate.Days,2020_Unhealthy.Days,2020_Days.Ozone.hazardous
Alabama,Baldwin,237,34,0,220,159,9,0,130
Alabama,Clay,97,10,0,0,54,4,0,0
Alabama,DeKalb,324,37,0,331,234,8,0,230
Alabama,Elmore,208,20,0,228,149,0,0,149
Alabama,Etowah,232,47,0,218,161,8,0,137
Alabama,Jefferson,157,195,0,122,149,93,0,97
Alabama,Lawrence,111,1,0,0,20,0,0,0
Alabama,Madison,255,106,0,155,158,24,0,79
Alabama,Mobile,258,106,0,105,184,19,0,101
Alabama,Montgomery,171,193,0,50,103,104,0,31
Alabama,Morgan,306,59,0,195,181,21,0,111
Alabama,Russell,268,95,0,116,179,33,0,70
Alabama,Shelby,308,44,0,232,200,11,0,147
Alabama,Sumter,335,26,0,183,209,4,0,126
Alabama,Tuscaloosa,240,24,0,188,159,6,0,133
Alaska,Aleutians East ,121,0,0,0,20,0,0,0
Alaska,Anchorage ,289,67,4,0,163,20,0,0
Alaska,Bethel ,304,11,1,0,166,1,0,0
Alaska,Denali ,355,4,1,350,234,1,0,235
Alaska,Fairbanks North Star ,230,96,16,130,132,41,7,81
Alaska,Juneau ,308,51,0,0,174,3,0,0
Alaska,Kenai Peninsula ,115,2,0,0,20,0,0,0
Alaska,Matanuska-Susitna ,295,63,0,0,162,15,0,0
Alaska,North Slope ,109,1,0,0,15,0,0,0
Arizona,Apache,358,1,0,0,268,2,0,0
Arizona,Cochise,266,99,0,327,210,62,0,231
Arizona,Coconino,289,76,0,356,227,47,0,274
Arizona,Gila,145,164,6,254,160,101,3,230
Arizona,La Paz,304,60,0,360,205,67,0,269
Arizona,Maricopa,66,261,0,215,75,168,3,194
Arizona,Mohave,358,7,0,0,262,4,0,0
Arizona,Navajo,294,70,0,357,229,42,0,243
Arizona,Pima,225,138,0,261,131,133,0,192
Arizona,Pinal,123,209,2,168,107,137,0,195
Arizona,Santa Cruz,280,80,0,0,213,56,1,0
Arizona,Yavapai,299,58,0,355,205,65,0,271
Arizona,Yuma,265,97,0,273,206,68,0,198
Arkansas,Arkansas,101,17,0,0,82,8,0,0
Arkansas,Ashley,103,17,0,0,85,7,0,0
Arkansas,Clark,347,8,0,355,220,1,0,221
Arkansas,Crittenden,290,74,0,205,228,43,0,175
Arkansas,Garland,93,28,0,0,80,11,0,0
Arkansas,Jackson,102,15,0,0,83,9,0,0
Arkansas,Newton,347,18,0,358,266,5,0,271
Arkansas,Polk,312,48,0,314,248,19,0,242
Arkansas,Pulaski,235,130,0,146,207,66,0,138
Arkansas,Union,196,45,0,0,79,12,0,0
Arkansas,Washington,284,81,0,207,236,37,0,194
s,Alameda,260,97,0,175,153,55,4,110
California,Amador,308,45,0,355,201,8,0,209
California,Butte,224,136,2,231,146,68,0,166
California,Calaveras,299,60,0,322,178,34,0,165
California,Colusa,294,71,0,228,205,25,15,169
California,Contra Costa,292,69,0,244,162,47,4,121
California,Del Norte,236,12,0,0,146,18,2,0
California,El Dorado,273,86,0,355,167,45,0,209
California,Fresno,139,160,2,259,87,135,16,175
California,Glenn,302,60,0,277,185,28,0,163
California,Humboldt,353,10,0,272,266,7,0,223
California,Imperial,125,219,2,210,130,65,0,36
California,Inyo,232,121,2,319,163,94,1,222
California,Kern,119,151,6,260,89,116,1,140
California,Kings,152,172,2,190,93,169,6,146
California,Lake,360,0,0,356,172,0,0,165
California,Los Angeles,66,213,28,197,58,87,10,105
California,Madera,189,163,0,259,122,87,0,153
California,Marin,337,25,0,221,200,13,0,131
California,Mariposa,221,130,5,296,153,79,3,220
California,Mendocino,334,27,0,229,74,17,0,32
California,Merced,213,145,0,250,147,102,12,173
California,Mono,270,80,0,0,138,35,1,0
California,Monterey,330,34,0,287,172,11,0,151
California,Napa,330,31,0,265,192,18,0,146
California,Nevada,273,83,0,326,214,59,13,203
California,Orange,216,133,1,262,120,55,3,131
California,Placer,221,134,0,295,143,85,7,173
California,Plumas,248,88,0,0,173,80,20,0
California,Riverside,75,170,29,247,69,170,12,174
California,Sacramento,213,142,0,240,146,65,1,158
California,San Benito,326,39,0,347,226,17,0,228
California,San Bernardino,55,177,54,246,57,123,19,180
California,San Diego,87,253,2,176,67,138,2,92
California,San Francisco,313,51,0,172,173,41,0,98
