diversity,aluminum,organic C,potasium,ammonia,nitrate,total_nitrogen,pH,siica,sulfate,turbidity,shade,mean annual flow
0.03738453,0.004,13.33,17.34,0.023,0.18829,1173,8.7,1.642,800.26,15.18,0.802139037,0.369823068
0.126611018,0.0062,4.1,0.933,0.007,0.00155,540,8.45,11.303,2.55,16.45,0,0
0.130639955,0.0043,1.51,1.197,0.032,0.03841,154,7.19,11.053,2.92,6.82,99.19786096,0
0.102459655,0.005,8.06,11.11,0.021,0.01195,691,8.03,11.677,215.62,51.39,14.43850267,0.354159964
0.172843628,0.0051,6.14,2.325,0.026,0.01284,512,8.11,1.906,4.16,4.16,53.34224599,0.360180151
0.08703951,0.0023,2.91,3.397,0.023,0.25577,636,8.4,5.677,110.54,6.82,60.92436975,0.384300388
0.238775737,0.0479,6.81,0.357,0.013,0.03742,318,7.67,5.765,1.56,6.02,75.13368984,0.354300468
0.063361157,8.00E-04,2.05,0.528,0.017,0.03115,136,8.21,8.98,20.37,1.71,60.02673797,0.408363391
0.093271186,8.00E-04,2.08,1.583,0.007,0.08496,277,7.73,6.501,9.49,2.96,98.39572193,0
0.150133556,0.0693,10.05,0.236,0.007,0.01061,133,7.39,3.162,1.54,1.87,54.04411765,0.525629911
0.064017807,5.00E-04,3.3,1.355,0.001,0.00063,226,8.43,8.336,65.56,1.51,6.016042781,0.356709113
0.135464663,0.005,3.91,2.851,0.012,1.16117,1799,7.85,6.114,6.77,10.8,14.57219251,0.392643135
0.073795214,3.00E-04,0.74,4.118,0.012,0.91833,1086,8.66,35.874,36.21,9.53,98.39572193,0.359670838
0.04837507,0.005,15.37,9.911,0.031,0,1026,8.17,14.298,761.28,1.82,44.38502674,0.35387432
0.158258208,3.00E-04,4.29,21.3,0.012,2.16911,3388,8.47,44.408,105.14,56.39,0.534759358,0.44017191
0.157150807,3.00E-04,4.54,4.595,0.027,0.80007,1349,8.47,12.69,18.21,19.2,93.85026738,0
0.12196995,0.0062,1.02,0.839,0.001,0.00337,44,7.35,27.601,0.4,0.09,73.79679144,0
0.147863105,0.0028,2.56,6.237,0.007,2.60915,3470,8.27,14.371,152.52,25.48,0,0
0.105620479,0.003,2.91,5.5,0.004,0,369,8.65,32.783,39.14,4.92,0,0.449250412
0.054858097,0.005,7.67,2.779,0.056,1.02894,1663,7.99,12.22,68.45,4.64,72.32620321,0
0.320072343,0.0169,1.08,0.891,0.014,0.12301,321,7.72,5.925,2.34,5.33,68.44919786,0.40017807
0.12801892,0.005,2.33,1.705,0.015,2.94335,3844,8.37,17.105,40.31,32.38,22.45989305,0.496404789
0.189966611,0,3.87,10.3,0.014,0.15129,1061,8.25,5.981,1348.32,11.16,0,0
0.042003339,3.00E-04,9.15,25.93,0.024,0.2338,1195,8.35,18.792,289.64,14,18.31550802,0.364554763
0.051469115,0.0374,2.95,0.514,0.007,0.21396,336,7.97,8.489,1.3,5.11,85.88235294,0.436568518
0.043528102,3.00E-04,2.46,16.78,0.017,0.00113,237,8.31,5.964,856.92,6.37,0.401069519,0.376804977
0.062389378,0.0058,1.9,3.503,0.03,0.66711,912,8.13,5.548,29.72,6.12,65.50802139,0.372388126
0.558681135,0.0033,6.8,3.069,0.003,0.54476,847,7.56,9.496,27,3.77,73.39572193,0.353931598
0.102943795,0.0806,11.58,0.923,0.014,0.83381,1177,7.99,7.399,21.22,3.32,97.32620321,1.87917987
0.319730227,0.1604,38.64,2.81,0.045,0.17389,1789,6.73,7.529,8.99,2.97,54.14438503,0.395786391
0.196803197,3.00E-04,1.9,1.263,0.009,0.00143,269,8.32,20.39,5.79,3.87,3.07486631,0
0.179543684,0.0092,3.78,5.997,0.02,1.72501,2149,8.09,21.444,20.58,3.35,68.18181818,0.357771909
0.050016694,0.005,1.53,1.974,0.016,0.12841,345,7.94,11.392,1308.15,2.55,0.267379679,0.377006808
0.116599889,0.005,2.86,0.42,0.034,0.0254,236,6.36,7.561,0.43,21.34,98.52941176,0.356649818
0.061224263,0.005,6.1,1.951,0.012,0,617,8.08,5.212,66.84,4.27,21.92513369,0.356159239
0.06589872,0.0151,2.17,0.812,0.012,0.05658,218,7.85,16.614,4.77,5.82,50.80213904,0
