Genus,Species,Family,Illegally_Hunted,Threat_status,Adult_weight,Age_first_birth,Age_maturity,Gestation.length,Interbirth_interval,Group_size,GeographicRange_km2,HomeRange_km2,MaximumLongevity_months,PopulationDensity_km2,MeanHumanPopulationDensity_km2,2003GrossNationalIncome_US$,MatingSystem,Diet,HabitatBreadth
Addax,nasomaculatus,Bovidae,No,Threatened,94700,1066.86,NA,262.74,360,12.63,1168709,NA,308.04,0.06,1.5,9624.69,NA,Specialist,2
Aepyceros,melampus,Bovidae,Yes,Threatened,52300,730,394.42,196.75,365,15.25,3926869,1.99,213,13,37.6,14962.72,Polygamous,Generalist,4
Alcelaphus,buselaphus,Bovidae,Yes,Threatened,164000,927.71,696.84,242.67,345.5,20,5580395,2.75,240,3.39,29.89,11483.09,Polygamous,Specialist,4
Alces,alces,Cervidae,Yes,Not_Threatened,481000,1216.67,547.5,235,365,1,22315180,72,324,0.41,8.47,1521949.72,Polygamous,Specialist,2
Ammodorcas,clarkei,Bovidae,No,NA,28000,NA,,200,NA,NA,287057,NA,36,0.75,10.04,3089.53,NA,Specialist,3
Ammotragus,lervia,Bovidae,No,Threatened,93200,407.58,456.25,156.24,212.92,NA,1447451,7.07,252,NA,5.62,36006.72,Polygamous,NA,2
Antidorcas,marsupialis,Bovidae,Yes,Threatened,33200,NA,279.01429,169.4934,365,NA,1066805,NA,240,10.4,2.06,5936.205,Polygamous,Generalist,2
Antilocapra,americana,Bovidae,No,Not_Threatened,46900,365,457.81,247.99,365,12,2009746,8.16,144,0.84,6.77,9998676.89,Polygamous,NA,3
Antilope,cervicapra,Bovidae,No,Not_Threatened,35900,669.17,986.11,166.6,212.56,30,1248647,0.63,243,4.31,284.26,597188.55,Polygamous,Specialist,4
Axis,axis,Cervidae,Yes,Not_Threatened,69500,NA,462.75,227.5,425.83,NA,2041090,0.69,249.6,6.7,361.47,569944.22,Polygamous,Generalist,4
Axis,calamianensis,Cervidae,No,NA,39500,NA,NA,224,NA,NA,1345,NA,NA,NA,36.99,86607.1,NA,NA,3
Axis,kuhlii,Cervidae,No,NA,55000,NA,NA,227.5,NA,NA,198,NA,NA,4.41,625,199369,NA,NA,4
Axis,porcinus,Cervidae,No,NA,37100,NA,403.98,220.13,NA,1.8,2017514,0.53,240,16.5,144.44,NA,Polygamous,Generalist,4
Babyrousa,babyrussa,Suidae,Yes,Threatened,91700,NA,345.2,156.5,NA,4.5,61504,NA,288,NA,35.4,199369,NA,Generalist,3
Bison,bison,Bovidae,No,Threatened,620000,1095,752,283.17,399,30,10388,47.7,396,0.29,0.7,11003700,Polygamous,Generalist,4
Bison,bonasus,Bovidae,No,NA,673000,1068.39,730,266,638.75,35,NA,7.92,324,0.9,NA,NA,Polygamous,Specialist,NA
Blastocerus,dichotomus,Cervidae,Yes,NA,111000,NA,NA,272.37,NA,3,2004539,NA,NA,0.13,11.65,277385.89,Polygamous,Generalist,5
Bos,frontalis,Bovidae,Yes,NA,800000,NA,534.77,273.75,403.02,40,2294332,NA,314.4,0.55,152.68,NA,NA,Specialist,3
Bos,grunniens,Bovidae,Yes,NA,500000,NA,657.99,273.75,NA,110,1523540,NA,267,NA,2.03,1574470,Polygamous,NA,2
Bos,javanicus,Bovidae,No,NA,627000,912.5,693.99,296.78,NA,40,1687921,NA,318.96,0.76,139.21,NA,Polygamous,NA,4
Bos,sauveli,Bovidae,No,NA,786000,NA,657.99,NA,NA,20,115557,NA,NA,NA,36.95,15866.66,NA,NA,4
Bos,taurus,Bovidae,No,NA,613000,NA,657.99,280.49,NA,NA,NA,10.2,240,NA,NA,NA,Polygamous,Generalist,NA
Boselaphus,tragocamelus,Bovidae,No,Not_Threatened,181000,912.5,NA,248.5,400.5,NA,2192565,NA,260.4,2.42,313.3,589624.26,Polygamous,Specialist,4
Bubalus,bubalis,Bovidae,No,NA,919000,NA,744.83,320,547.5,NA,978657,3.7,339,1.08,254.71,NA,Polygamous,NA,NA
Bubalus,depressicornis,Bovidae,Yes,NA,255000,NA,657.99,295.78,NA,1,41027,NA,432.96,NA,40,199369,Polygamous,Generalist,2
