Zip.Code,Sample.Number,Date.Submitted,Analysis..Lead.,Lead.ppb,Analysis..Copper.,copper.ppb,Street..,Street.Name,City,N,income,ave.income
48076,LG58073,7/7/16,Lead,19,Copper,100,1114,KNIGHT AVE,FLINT,13382,720224,53.8203557
48341,LG64555,8/4/16,Lead,23,Copper,0,4103,FLEMING RD,FLINT,6553,204657,31.23103922
48420,LG62995,7/28/16,Lead,9,Copper,0,2726,N CHEVROLET AVE,FLINT,10410,436274,41.90912584
48420,LG66296,8/11/16,Lead,1,Copper,0,1002,S SAGINAW ST,FLINT,10410,436274,41.90912584
48423,LG78672,9/29/16,Lead,11,Copper,0,2326,BEGOLE ST,FLINT,15695,717390,45.70818732
48423,LG84168,10/27/16,Lead,10,Copper,0,1909,MONTEITH ST,FLINT,15695,717390,45.70818732
48423,LG70070,8/29/16,Lead,5,Copper,0,4206,BRUNSWICK AVE,FLINT,15695,717390,45.70818732
48423,LG75371,9/21/16,Lead,3,Copper,0,3513,CLAIRMONT ST,FLINT,15695,717390,45.70818732
48430,LG67968,8/18/16,Lead,0,Copper,0,648,LINCOLN AVE,FLINT,17583,1107098,62.96411306
48430,LG75321,9/21/16,Lead,2,Copper,160,2525,E COURT ST,FLINT,17583,1107098,62.96411306
48430,LG66287,8/11/16,Lead,0,Copper,170,1625,LINCOLN AVE,FLINT,17583,1107098,62.96411306
48430,LG68008,8/18/16,Lead,2,Copper,0,2721,HILLCREST AVE,FLINT,17583,1107098,62.96411306
48430,LG81112,10/10/16,Lead,0,Copper,0,4225,CUSTER AVE,FLINT,17583,1107098,62.96411306
48430,LG91204,12/12/16,Lead,,Copper,,2320,COPEMAN BLVD,FLINT,17583,1107098,62.96411306
48430,LG91173,12/12/16,Lead,,Copper,,4311,TRUMBULL AVE,FLINT,17583,1107098,62.96411306
48430,LG60203,7/18/16,Lead,6,Copper,0,2225,HOFF ST,FLINT,17583,1107098,62.96411306
48430,LG83045,10/20/16,Lead,0,Copper,0,400,MILL ST,FLINT,17583,1107098,62.96411306
48430,LG68015,8/18/16,Lead,0,Copper,0,1002,S SAGINAW ST,FLINT,17583,1107098,62.96411306
48433,LG88032,11/21/16,Lead,,Copper,,1518,UNIVERSITY AVENUE,FLINT,12855,672599,52.32197588
48433,LG70077,8/29/16,Lead,0,Copper,300,712,WILBERFORCE DR,FLINT,12855,672599,52.32197588
48438,LG92350,12/19/16,Lead,,Copper,,1952,MILLER RD,FLINT,3150,228970,72.68888889
48439,LG88664,11/28/16,Lead,4,Copper,340,4001,OGEMA,FLINT,22645,1437414,63.47599912
48439,LG60651,7/19/16,Lead,6,Copper,170,3335,WESTWOOD AVE,FLINT,22645,1437414,63.47599912
48439,LG64572,8/4/16,Lead,0,Copper,0,2931,CLEMENT ST,FLINT,22645,1437414,63.47599912
48439,LG88656,11/28/16,Lead,0,Copper,0,650,ANN ARBOR,FLINT,22645,1437414,63.47599912
48439,LG77555,9/27/16,Lead,0,Copper,150,1201,N GRAND TRAVERSE ST,FLINT,22645,1437414,63.47599912
48439,LG72834,9/12/16,Lead,0,Copper,0,1077,E BALTIMORE BLVD,FLINT,22645,1437414,63.47599912
48451,LG89863,12/5/16,Lead,,Copper,,975,SALISBURY AVE,FLINT,6839,395294,57.79997076
48457,LG67954,8/18/16,Lead,0,Copper,50,606,CHANDLER AVE,FLINT,3728,141598,37.98229614
48457,LG61547,7/21/16,Lead,4,Copper,60,2315,BARTH ST,FLINT,3728,141598,37.98229614
48457,LG58015,7/7/16,Lead,2,Copper,0,916,WOODSIDE DR,FLINT,3728,141598,37.98229614
48458,LG88005,11/21/16,Lead,,Copper,,1518,UNIVERSITY AVENUE,FLINT,8928,263082,29.46706989
48458,LG87344,11/17/16,Lead,50,Copper,370,2030,E COURT ST,FLINT,8928,263082,29.46706989
48458,LG88144,11/21/16,Lead,0,Copper,0,5602,BALDWIN BLVD,FLINT,8928,263082,29.46706989
48458,LG89424,12/1/16,Lead,,Copper,,1910,E CARPENTER RD,FLINT,8928,263082,29.46706989
48463,LG75402,9/21/16,Lead,1,Copper,0,2120,WINDEMERE AVE,FLINT,2147,93333,43.47135538
48502,LG86711,11/14/16,Lead,,Copper,,3434,LYNN ST,FLINT,524,37439,71.44847328
48502,LG65006,8/8/16,Lead,0,Copper,100,4264,SUGAR MAPLE RUN,FLINT,524,37439,71.44847328
48502,LG61102,7/20/16,Lead,0,Copper,70,1201,N GRAND TRAVERSE ST,FLINT,524,37439,71.44847328
48502,LG61938,7/25/16,Lead,30,Copper,100,1813,ROCKCREEK LN,FLINT,524,37439,71.44847328
48502,LG85320,11/3/16,Lead,,Copper,,3358,KISSNER AVE,FLINT,524,37439,71.44847328
48502,LG67848,8/18/16,Lead,113,Copper,"1,390",1402,WALDMAN AVE,FLINT,524,37439,71.44847328
48502,LG67960,8/18/16,Lead,130,Copper,300,2026,E COURT ST,FLINT,524,37439,71.44847328
48502,LG60788,7/20/16,Lead,2,Copper,60,1610,CRESCENT DR,FLINT,524,37439,71.44847328
48502,LG67828,8/18/16,Lead,30,Copper,0,3717,MASON ST,FLINT,524,37439,71.44847328
48502,LG76101,9/22/16,Lead,6,Copper,0,2823,MALLERY ST,FLINT,524,37439,71.44847328
48502,LG83428,10/24/16,Lead,0,Copper,0,340,SAGINAW ST,FLINT,524,37439,71.44847328
48502,LG64583,8/4/16,Lead,0,Copper,0,1517,STOCKTON ST,FLINT,524,37439,71.44847328
48502,LG87390,11/17/16,Lead,1,Copper,0,1726,WALNUT CREEK DR,FLINT,524,37439,71.44847328
48502,LG63349,8/1/16,Lead,11,Copper,0,2701,BEGOLE ST,FLINT,524,37439,71.44847328
48502,LG71346,9/6/16,Lead,0,Copper,70,2749,GOLFSIDE LN,FLINT,524,37439,71.44847328
48502,LG75298,9/21/16,Lead,2,Copper,0,4214,OGEMA AVE,FLINT,524,37439,71.44847328
48502,LG58851,7/12/16,Lead,9,Copper,100,3606,STERLING ST,FLINT,524,37439,71.44847328
48502,LG88660,11/28/16,Lead,0,Copper,0,1014,SIMCOE AVE,FLINT,524,37439,71.44847328
48502,LG67966,8/18/16,Lead,0,Copper,0,621,ROOME CT,FLINT,524,37439,71.44847328
48502,LG60671,7/19/16,Lead,9,Copper,0,2508,ALTOONA ST,FLINT,524,37439,71.44847328
48502,LG86519,11/10/16,Lead,0,Copper,0,2020,ECKLEY AVENUE,FLINT,524,37439,71.44847328
48502,LG86524,11/10/16,Lead,,Copper,,2702,N DORT HWY,FLINT,524,37439,71.44847328
48502,LG74246,9/15/16,Lead,29,Copper,0,1505,WOODLAWN PARK DR,FLINT,524,37439,71.44847328
48502,LG67833,8/18/16,Lead,2,Copper,0,617,E MCCLELLAN ST,FLINT,524,37439,71.44847328
48502,LG66317,8/11/16,Lead,0,Copper,0,2917,COMANCHE AVE,FLINT,524,37439,71.44847328
48502,LG71001,9/1/16,Lead,0,Copper,60,1717,CARMANBROOK PKWY,FLINT,524,37439,71.44847328
48502,LG61092,7/20/16,Lead,0,Copper,0,1802,CARMANBROOK PKWY,FLINT,524,37439,71.44847328
48502,LG71002,9/1/16,Lead,0,Copper,0,3810,HERRICK ST,FLINT,524,37439,71.44847328
48502,LG85331,11/3/16,Lead,,Copper,,1318,BLANCHARD AVE,FLINT,524,37439,71.44847328
48502,LG61095,7/20/16,Lead,0,Copper,0,1802,CARMANBROOK PKWY,FLINT,524,37439,71.44847328
48502,LG61104,7/20/16,Lead,0,Copper,130,1201,N GRAND TRAVERSE ST,FLINT,524,37439,71.44847328
48502,LG87334,11/17/16,Lead,0,Copper,60,3827,LEITH ST,FLINT,524,37439,71.44847328
48502,LG83098,10/20/16,Lead,,Copper,,2528,ORCHARD LN,FLINT,524,37439,71.44847328
48502,LG61927,7/25/16,Lead,29,Copper,0,1605,MABEL AVE,FLINT,524,37439,71.44847328
48502,LG62985,7/28/16,Lead,6,Copper,0,429,BURROUGHS AVE,FLINT,524,37439,71.44847328
48502,LG67902,8/18/16,Lead,114,Copper,360,2030,E COURT ST,FLINT,524,37439,71.44847328
48502,LG71359,9/6/16,Lead,0,Copper,0,1002,S SAGINAW ST,FLINT,524,37439,71.44847328
48502,LG60605,7/19/16,Lead,0,Copper,90,3514,CHICAGO BLVD,FLINT,524,37439,71.44847328
48502,LG57978,7/7/16,Lead,0,Copper,0,1806,E WEBSTER RD LOT 229,FLINT,524,37439,71.44847328
48502,LG72150,9/8/16,Lead,6,Copper,0,1701,W HOME AVE,FLINT,524,37439,71.44847328
48502,LG71014,9/1/16,Lead,0,Copper,0,322,E CARPENTER RD,FLINT,524,37439,71.44847328
48502,LG70997,9/1/16,Lead,3,Copper,0,2302,OKLAHOMA AVE,FLINT,524,37439,71.44847328
48502,LG91155,12/12/16,Lead,4,Copper,60,4103,FENTON RD,FLINT,524,37439,71.44847328
48502,LG63011,7/28/16,Lead,2,Copper,80,609,MORLEY AVE,FLINT,524,37439,71.44847328
48502,LG71010,9/1/16,Lead,1,Copper,60,3507,DEARBORN ST,FLINT,524,37439,71.44847328
48502,LG63341,8/1/16,Lead,2,Copper,60,633,W BISHOP AVE,FLINT,524,37439,71.44847328
48502,LG71332,9/6/16,Lead,0,Copper,0,G-3426,BRANCH RD,FLINT,524,37439,71.44847328
48502,LG82131,10/17/16,Lead,4,Copper,0,4907,N SAGINAW ST,FLINT,524,37439,71.44847328
48502,LG61945,7/25/16,Lead,29,Copper,0,952,KNAPP AVE,FLINT,524,37439,71.44847328
48502,LG60211,7/18/16,Lead,0,Copper,0,4010,PARK FOREST DR,FLINT,524,37439,71.44847328
48502,LG81104,10/10/16,Lead,29,Copper,70,3217,WOLCOLT ST,FLINT,524,37439,71.44847328
48502,LG60768,7/20/16,Lead,1,Copper,0,4302,OGEMA AVE,FLINT,524,37439,71.44847328
48502,LG70047,8/29/16,Lead,0,Copper,100,307,S FRANKLIN AVE,FLINT,524,37439,71.44847328
48502,LG58844,7/12/16,Lead,0,Copper,0,1845,HOSLER ST,FLINT,524,37439,71.44847328
48502,LG75380,9/21/16,Lead,2,Copper,0,627,ALVORD AVE,FLINT,524,37439,71.44847328
48502,LG84130,10/27/16,Lead,,Copper,,1217,MAXINE ST,FLINT,524,37439,71.44847328
48502,LG76103,9/22/16,Lead,2,Copper,0,2402,COPEMAN BLVD,FLINT,524,37439,71.44847328
48502,LG85368,11/3/16,Lead,0,Copper,210,512,S GRAND TRAVERSE,FLINT,524,37439,71.44847328
48502,LG87400,11/17/16,Lead,3,Copper,0,2319,CALUMET ST,FLINT,524,37439,71.44847328
48502,LG75388,9/21/16,Lead,158,Copper,1220,1402,WALDMAN AVE,FLINT,524,37439,71.44847328
48502,LG89873,12/5/16,Lead,,Copper,,2535,WALTER ST,FLINT,524,37439,71.44847328
48502,LG77524,9/27/16,Lead,0,Copper,0,1201,N GRAND TRAVERSE ST,FLINT,524,37439,71.44847328
48502,LG67920,8/18/16,Lead,0,Copper,90,2701,LAKEWOOD DR,FLINT,524,37439,71.44847328
48502,LG86540,11/10/16,Lead,,Copper,,424,CRAPO ST APT #1,FLINT,524,37439,71.44847328
48502,LG67998,8/18/16,Lead,0,Copper,0,4319,CHEYENNE AVE,FLINT,524,37439,71.44847328
48502,LG87999,11/21/16,Lead,,Copper,,1518,UNIVERSITY AVENUE,FLINT,524,37439,71.44847328
48502,LG72817,9/12/16,Lead,3,Copper,120,980,JOHNSON AVE,FLINT,524,37439,71.44847328
48502,LG68012,8/18/16,Lead,31,Copper,140,3507,DEARBORN ST,FLINT,524,37439,71.44847328
48502,LG61498,7/21/16,Lead,2,Copper,60,1010,LAFAYETTE ST,FLINT,524,37439,71.44847328
48502,LG72796,9/12/16,Lead,2,Copper,0,605,ODETTE ST,FLINT,524,37439,71.44847328
48502,LG87411,11/17/16,Lead,2,Copper,0,3618,MASON ST,FLINT,524,37439,71.44847328
48502,LG72810,9/12/16,Lead,0,Copper,0,1214,PERSHING ST,FLINT,524,37439,71.44847328
48502,LG87436,11/17/16,Lead,2,Copper,0,632,CRAWFORD ST,FLINT,524,37439,71.44847328
48502,LG58837,7/12/16,Lead,0,Copper,0,4609,MAINES ST,FLINT,524,37439,71.44847328
48502,LG87393,11/17/16,Lead,14,Copper,170,3514,CHICAGO BLVD,FLINT,524,37439,71.44847328
48502,LG89867,12/5/16,Lead,,Copper,,914,DOWNEY ST,FLINT,524,37439,71.44847328
48502,LG78676,9/29/16,Lead,10,Copper,0,1909,MONTEITH ST,FLINT,524,37439,71.44847328
48502,LG92050,12/15/16,Lead,0,Copper,0,735,E STEWART AVE,FLINT,524,37439,71.44847328
48502,LG85318,11/3/16,Lead,,Copper,,1221,INGLESIDE AVE,FLINT,524,37439,71.44847328
48502,LG84139,10/27/16,Lead,,Copper,,2002,KANSAS AVE,FLINT,524,37439,71.44847328
48502,LG79605,10/3/16,Lead,0,Copper,0,,,FLINT,524,37439,71.44847328
48502,LG75316,9/21/16,Lead,3,Copper,0,421,W WITHERBEE ST,FLINT,524,37439,71.44847328
48502,LG72823,9/12/16,Lead,0,Copper,360,2409,HILLS ST,FLINT,524,37439,71.44847328
48502,LG90810,12/8/16,Lead,,Copper,,1918,CAMBRIDGE AVENUE,FLINT,524,37439,71.44847328
